HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
37;Q1P;0.089282;0.136148;0.058702;0.073627;0.325474;0.899333333;0.346114;0.383183;0.150317;0.128933;0.03004;0.033726;0.032037;0.449756;0.184275;0.114781;0.172003;0.155629;0.348414;0.109262;0.117035;0.231525;0.317141954;0.019582476;0.414718;0.435352;0.298209;0.337067;0.012308519;0.03004
38;Q1P;0.111774;0.155113;0.058315;0.085229;0.337465;0.901666667;0.345101;0.39235;0.153185;0.13987;0.028384;0.037779;0.042374;0.466339;0.170037;0.123482;0.184676;0.174814;0.361493;0.096064;0.118318;0.247947;0.333176285;0.019335411;0.444618;0.436872;0.303897;0.339084;0.010224782;0.028384
39;Q1A;0.139044;0.185813;0.06511;0.088355;0.336948;0.898;0.348403;0.40719;0.156867;0.146377;0.024885;0.043942;0.059444;0.471182;0.149729;0.131677;0.211366;0.186221;0.381089;0.088517;0.134116;0.263986;0.274481612;0.019023896;0.477761;0.432478;0.318529;0.344364;0.007102466;0.024885
40;Q1A;0.189839;0.230867;0.074226;0.080634;0.343021;0.899833333;0.363555;0.422931;0.160232;0.148601;0.020051;0.055936;0.095951;0.469262;0.129518;0.141446;0.255885;0.19274;0.407644;0.092236;0.153139;0.278144;0.227447775;0.037853885;0.516875;0.43251;0.360299;0.367599;0.004539858;0.020051
41;Q1A;0.251392;0.279283;0.081182;0.072926;0.354384;0.901333333;0.364338;0.395444;0.164071;0.160658;0.016855;0.073126;0.152912;0.460593;0.122092;0.156268;0.294769;0.188986;0.433989;0.1004;0.165741;0.292799;0.196915007;0.037643567;0.548588;0.424049;0.418138;0.390872;0.002956008;0.016855
42;Q1A;0.296121;0.320921;0.086644;0.059991;0.359379;0.911;0.35341;0.377609;0.168301;0.184583;0.015168;0.08927;0.204234;0.450175;0.123584;0.171869;0.312298;0.188864;0.452947;0.130792;0.168711;0.301059;0.183477635;0.040066385;0.576819;0.408427;0.472648;0.401492;0.002027739;0.015168
43;Q1A;0.311036;0.346531;0.090811;0.049763;0.363161;0.918;0.351805;0.408148;0.171888;0.203621;0.015617;0.100519;0.228844;0.432731;0.127245;0.183105;0.321544;0.206942;0.473277;0.205974;0.167345;0.303343;0.18475428;0.03320172;0.585463;0.393441;0.5103;0.404752;0.001495199;0.015617
44;Q1N;0.309976;0.360735;0.093304;0.046764;0.368451;0.916333333;0.366329;0.432633;0.17612;0.214443;0.017398;0.109055;0.231126;0.430648;0.129218;0.19453;0.342025;0.239624;0.48621;0.277793;0.164765;0.305081;0.201743283;0.039996667;0.587868;0.384009;0.531776;0.407161;0.002506004;0.017398
45;Q1N;0.299794;0.368579;0.091616;0.04867;0.370519;0.911833333;0.395049;0.441951;0.180363;0.220279;0.019148;0.116018;0.214335;0.433318;0.127429;0.21829;0.367394;0.274274;0.490453;0.323408;0.159637;0.309255;0.191247493;0.05409057;0.588873;0.376963;0.541059;0.406645;0.000935273;0.019148
46;Q1N;0.285933;0.374593;0.087938;0.057249;0.367254;0.907166667;0.427047;0.44156;0.187301;0.223644;0.019482;0.119312;0.193756;0.434975;0.12208;0.255666;0.391219;0.300576;0.493381;0.351704;0.152725;0.313268;0.183233854;0.057455265;0.599319;0.367504;0.534836;0.39457;0.001006954;0.019482
47;Q1N;0.267331;0.387238;0.091921;0.064758;0.360925;0.913333333;0.451825;0.438386;0.192445;0.228105;0.017763;0.117623;0.179743;0.418509;0.113202;0.291974;0.415802;0.32146;0.502906;0.374986;0.147678;0.317833;0.177611321;0.061660096;0.610642;0.368234;0.526389;0.38984;0.001261236;0.017763
48;Q1N;0.251663;0.40433;0.104335;0.061442;0.35787;0.921666667;0.467997;0.436003;0.190967;0.232862;0.016469;0.111337;0.175591;0.411614;0.102824;0.32686;0.434312;0.336495;0.509327;0.398595;0.149495;0.319447;0.174231705;0.066659999;0.619987;0.377923;0.525585;0.391931;0.001357716;0.016469
49;Q1N;0.243052;0.416358;0.117054;0.058338;0.363727;0.9245;0.479823;0.430985;0.18443;0.236211;0.017981;0.100296;0.177173;0.396791;0.090197;0.368071;0.442958;0.359816;0.510723;0.415407;0.153984;0.316757;0.172961402;0.07240435;0.622474;0.382466;0.532916;0.388921;0.001793167;0.017981
50;Q1N;0.230634;0.41602;0.128359;0.057231;0.37546;0.928666667;0.489724;0.419036;0.176844;0.235521;0.022069;0.086989;0.173456;0.372793;0.07823;0.405927;0.441221;0.404646;0.509256;0.421161;0.162839;0.307064;0.173746622;0.078841047;0.627707;0.379632;0.533278;0.380909;0.002090252;0.022069
51;Q1N;0.21661;0.404372;0.136903;0.054024;0.39156;0.931333333;0.505991;0.403952;0.166327;0.230565;0.028686;0.071082;0.16371;0.352444;0.067445;0.43167;0.434375;0.457262;0.511365;0.427959;0.177182;0.292544;0.166605875;0.063983562;0.618331;0.36967;0.536026;0.383193;0.002425544;0.028686
52;Q1N;0.211063;0.383945;0.140131;0.050359;0.413387;0.9125;0.538967;0.387131;0.153029;0.223646;0.038293;0.055563;0.156476;0.343905;0.057201;0.446028;0.422681;0.503737;0.513408;0.445113;0.190716;0.28057;0.160710531;0.053029467;0.604186;0.358352;0.546671;0.391067;0.003275766;0.038293
53;Q1N;0.207233;0.368535;0.137265;0.055518;0.443349;0.876833333;0.567235;0.372841;0.143986;0.209022;0.049286;0.050613;0.138926;0.331335;0.048392;0.452842;0.41257;0.529029;0.511767;0.451028;0.181662;0.269676;0.156243153;0.045785761;0.592275;0.339414;0.54737;0.386393;0.003764417;0.049286
54;Q1N;0.218155;0.359946;0.1344;0.068192;0.478951;0.819;0.608055;0.360362;0.129422;0.196876;0.057929;0.056141;0.132018;0.312379;0.042918;0.443768;0.412818;0.547259;0.51547;0.453791;0.16644;0.26369;0.153353828;0.041650851;0.583035;0.313293;0.534472;0.370884;0.005060689;0.057929
55;Q1M;0.247791;0.353342;0.139291;0.083152;0.516117;0.769666667;0.647066;0.348637;0.106799;0.18822;0.065179;0.060513;0.145141;0.295359;0.040913;0.426491;0.418169;0.563489;0.534035;0.453963;0.15693;0.264671;0.152134659;0.039707012;0.567273;0.286859;0.528633;0.354033;0.006332855;0.065179
56;Q1M;0.290496;0.349141;0.145398;0.097409;0.558646;0.765666667;0.683367;0.339902;0.085636;0.183002;0.072696;0.058761;0.169332;0.278876;0.042455;0.40758;0.422144;0.582983;0.562504;0.451048;0.152377;0.273542;0.152600665;0.039043435;0.554583;0.25856;0.516421;0.333837;0.008393214;0.072696
